Institute,Course,GOPEN,GSC,GSEBC,LOPEN,LST,LOBC,EWS,GST,GOBC,LSEBC,LSC,GNTA,GNTB,GNTC,DEFR-OBC,PWDR-OBC,LNTA,LNTC,LNTD,PWD-O,DEF-O,LNTB,GNTD,MI,ORP,PWDR-SC,DEFR-SC,DEFR-SEBC,PWDR-SEBC,DEFR-ST,DEFR-NTB,DEFR-NTA
"5182 Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik (Un-Aided)",Electrical Engineering,75.22%,67.89%,,70.06%,67.83%,69.35%,,63.06%,75.00%,,,,,,,,,71.67%,,,,,64.06%,,,,,,,,,
"5182 Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik (Un-Aided)",Electronics and Telecommunication Engg,77.11%,60.81%,65.65%,77.31%,,76.63%,70.44%,75.56%,75.71%,,63.81%,,,,,,60.88%,68.24%,,,,,,,,,,,,,,
"5182 Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik (Un-Aided)",Mechanical Engineering,76.10%,66.77%,,68.71%,66.82%,70.31%,70.59%,69.44%,70.78%,,64.56%,74.00%,71.03%,54.39%,,,,,71.44%,,,68.10%,,,,,,,,,,
"5184 Amruta Vaishnavi Education & Welfare Trusts Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar (Un-Aided Religious Minority - Christian)",Civil Engineering,59.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5184 Amruta Vaishnavi Education & Welfare Trusts Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar (Un-Aided Religious Minority - Christian)",Computer Engineering,78.17%,,,78.69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5184 Amruta Vaishnavi Education & Welfare Trusts Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar (Un-Aided Religious Minority - Christian)",Electrical Engineering,68.72%,,,68.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5184 Amruta Vaishnavi Education & Welfare Trusts Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar (Un-Aided Religious Minority - Christian)",Electronics and Telecommunication Engg,72.97%,,,73.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5184 Amruta Vaishnavi Education & Welfare Trusts Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar (Un-Aided Religious Minority - Christian)",Mechanical Engineering,67.59%,,,65.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5244 METs Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik (Un-Aided)",Computer Science and Design,86.06%,,,85.76%,,,75.86%,,85.94%,76.82%,83.20%,,,,,,,,,,,,,,,,,,,,,
"5244 METs Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik (Un-Aided)",Automation and Robotics,80.37%,,,82.29%,,80.81%,69.94%,,,,72.46%,,,,,,,,,,,,,,,,,,,,,
"5244 METs Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik (Un-Aided)",Civil and Environmental Engineering,70.05%,69.53%,,65.84%,,,,,54.58%,,,,,,,,,,,,,,69.89%,,,,,,,,,
"5303 Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha, (Un-Aided)",Civil Engineering,63.47%,,,60.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5303 Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha, (Un-Aided)",Computer Engineering,80.65%,71.43%,77.77%,84.23%,,81.83%,77.43%,,79.09%,,80.29%,,76.86%,,,,,81.14%,,,,,71.89%,,,,,,,,,
"5303 Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha, (Un-Aided)",Electrical Engineering,69.95%,64.56%,65.94%,70.22%,,62.67%,60.44%,,65.80%,,,,69.22%,63.78%,,,,,,,,,,,,,,,,,,
"5303 Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha, (Un-Aided)",Mechanical Engineering,71.85%,67.38%,,70.82%,,,70.31%,,65.85%,,,,69.64%,68.67%,,,,,,,,,,,,,,,,,,
"5303 Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha, (Un-Aided)",Electronics and Computer Engineering,78.46%,74.12%,,76.67%,,74.23%,69.88%,,75.00%,,,,,,,,,72.11%,,,,,,,,,,,,,,
"5322 Jamia Institute Of Engineering And Management Studies, Akkalkuwa (Un-Aided Religious Minority - Muslim)",Civil Engineering,52.61%,,,63.79%,,,,,,,,,,,,,,,,,,,,63.68%,,,,,,,,
"5322 Jamia Institute Of Engineering And Management Studies, Akkalkuwa (Un-Aided Religious Minority - Muslim)",Electrical Engineering,63.89%,,,61.06%,,,,,,,,,,,,,,,,,,,,68.12%,,,,,,,,
"5322 Jamia Institute Of Engineering And Management Studies, Akkalkuwa (Un-Aided Religious Minority - Muslim)",Mechanical Engineering,56.15%,,,,,,,,,,,,,,,,,,,,,,,62.18%,,,,,,,,
"5330 PUNE VIDYARTHI GRIHAâ€™S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK (Un-Aided)",Computer Engineering,87.94%,81.94%,,88.75%,,87.31%,76.06%,63.77%,,86.29%,,,,,,,,,,,,,,,,,,,,,,
"5330 PUNE VIDYARTHI GRIHAâ€™S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK (Un-Aided)",Information Technology,86.17%,79.14%,85.44%,87.03%,66.06%,,80.31%,,85.54%,,,74.97%,,,,,,,,,,,,,,,,,,,,
"5330 PUNE VIDYARTHI GRIHAâ€™S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK (Un-Aided)",Electronics and Telecommunication Engg,79.53%,65.71%,74.00%,81.69%,75.00%,80.97%,58.56%,,78.44%,,,,,61.94%,,,,,,,,,,,,,,,,,,
"5330 PUNE VIDYARTHI GRIHAâ€™S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK (Un-Aided)",Mechanical Engineering,66.46%,64.31%,,77.64%,,,,65.23%,60.31%,,,,,63.23%,,,,,,,,,,,,,,,,,,
"5330 PUNE VIDYARTHI GRIHAâ€™S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK (Un-Aided)",Artificial Intelligence and Data Science,85.89%,,,85.71%,,84.91%,75.00%,,84.78%,80.63%,74.97%,,,,,,,,,,,,,,,,,,,,,
"5331 Sandip Foundations, Sandip Institute of Engineering & Management, Nashik (Un-Aided)",Civil Engineering,54.79%,,,62.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5331 Sandip Foundations, Sandip Institute of Engineering & Management, Nashik (Un-Aided)",Computer Engineering,85.77%,81.29%,83.31%,87.71%,79.94%,85.71%,73.26%,,85.71%,,,,,,,,,,,,,,,,,,,,,,,
"5331 Sandip Foundations, Sandip Institute of Engineering & Management, Nashik (Un-Aided)",Electrical Engineering,77.94%,66.44%,70.17%,75.67%,,70.97%,61.61%,64.00%,75.94%,69.41%,61.19%,,70.94%,70.94%,,,71.17%,,,,,,73.44%,,,,,,,,,
"5331 Sandip Foundations, Sandip Institute of Engineering & Management, Nashik (Un-Aided)",Electronics and Telecommunication Engg,80.59%,69.18%,74.18%,81.77%,,77.26%,65.00%,,79.37%,,,70.17%,,,,,,,,,,,,,,,,,,,,
"5331 Sandip Foundations, Sandip Institute of Engineering & Management, Nashik (Un-Aided)",Mechanical Engineering,74.15%,64.11%,,66.31%,,67.56%,62.62%,,70.26%,,63.74%,,65.63%,,,,,65.54%,,,,,,,,,,,,,,
"5365 Vardhaman Education & Welfare Society,Ahinsa Polytechnic, Post. Dondaicha, Dhule (Un-Aided Religious Minority - Jain)",Computer Technology,76.69%,,,76.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5365 Vardhaman Education & Welfare Society,Ahinsa Polytechnic, Post. Dondaicha, Dhule (Un-Aided Religious Minority - Jain)",Electrical Engineering,67.71%,,,61.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5365 Vardhaman Education & Welfare Society,Ahinsa Polytechnic, Post. Dondaicha, Dhule (Un-Aided Religious Minority - Jain)",Mechanical Engineering,67.12%,,,61.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5380 Adsuls Technical Campus, Chas Dist. Ahmednagar (Un-Aided)",Civil Engineering,86.95%,,80.84%,88.58%,73.95%,,,,76.32%,,87.89%,,,,,,,,,,,,,,,,,,,,,
"5380 Adsuls Technical Campus, Chas Dist. Ahmednagar (Un-Aided)",Computer Engineering,78.51%,73.03%,72.63%,86.50%,,81.50%,68.57%,71.10%,77.66%,76.80%,73.38%,72.91%,,75.66%,,,84.34%,,76.23%,,76.29%,80.00%,76.51%,,,,,,,,,
"5380 Adsuls Technical Campus, Chas Dist. Ahmednagar (Un-Aided)",Electrical Engineering,84.89%,74.17%,79.39%,91.28%,70.72%,,,,79.72%,,,,,,,,91.24%,89.47%,,,,,,,,,,,,,,
"5380 Adsuls Technical Campus, Chas Dist. Ahmednagar (Un-Aided)",Electronics and Telecommunication Engg,83.88%,81.12%,67.31%,90.00%,74.29%,85.35%,72.41%,,78.41%,75.24%,58.88%,69.60%,74.06%,79.24%,,,,,62.47%,,,,,,,,,,,,,
"5380 Adsuls Technical Campus, Chas Dist. Ahmednagar (Un-Aided)",Mechanical Engineering,82.36%,73.82%,60.88%,75.79%,,68.92%,57.97%,,79.13%,,70.62%,76.13%,72.88%,,,,,77.18%,,,,,69.67%,,,,,,,,,
"5381 Shri. Jaykumar Rawal Institute of Technology, Dondaicha. (Un-Aided)",Civil Engineering,74.31%,64.84%,69.68%,62.61%,58.30%,70.58%,66.89%,63.42%,72.63%,,63.32%,63.00%,74.21%,71.00%,,,,,,,,,58.32%,,,,,,,,,
"5381 Shri. Jaykumar Rawal Institute of Technology, Dondaicha. (Un-Aided)",Computer Science and Engineering,76.17%,67.43%,,77.68%,,76.46%,,,75.31%,,73.89%,,69.71%,,,71.89%,70.80%,68.06%,,,,,,,,,,,,,,
"5381 Shri. Jaykumar Rawal Institute of Technology, Dondaicha. (Un-Aided)",Electrical Engineering,73.06%,65.89%,63.03%,72.72%,64.00%,68.23%,75.00%,71.44%,70.67%,,63.28%,68.50%,72.77%,63.27%,,,,,,59.06%,,68.06%,62.39%,,,,,,,,,
"5381 Shri. Jaykumar Rawal Institute of Technology, Dondaicha. (Un-Aided)",Mechanical Engineering,75.13%,66.62%,,70.87%,,69.59%,74.41%,58.93%,71.28%,,,70.97%,74.00%,,,,,,,,,,,,,,,,,,,
"5382 Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti (Un-Aided)",Civil Engineering,64.76%,50.79%,,77.16%,,69.71%,,59.11%,60.21%,,72.05%,,,,,,,,,,67.63%,,58.61%,,,,,,,,,
"5382 Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti (Un-Aided)",Computer Engineering,83.26%,73.60%,,86.69%,,,69.71%,,80.23%,74.97%,,,,,,,76.12%,,,,,,,,,,,,,,,
"5382 Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti (Un-Aided)",Artificial Intelligence (AI) and Data Science,81.60%,68.51%,,78.51%,,73.20%,78.06%,,,,,,,,,,,,,,,,,,,,,,,,,
"5382 Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti (Un-Aided)",Electronics and Telecommunication Engg,78.35%,73.82%,,80.71%,,,,,72.53%,,70.28%,,,68.34%,,,,,,,,,,,,,,,,,,
"5382 Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti (Un-Aided)",Mechanical Engineering,75.94%,61.65%,,68.26%,,65.89%,66.87%,,66.67%,,,,73.38%,,,,69.59%,69.59%,,,,,69.08%,,,,,,,,,
"5390 K.V.N. Naik S. P. Sansths Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik. (Un-Aided)",Civil Engineering,70.63%,53.16%,,75.58%,72.00%,70.26%,66.32%,62.16%,65.95%,,,,,,,,,,,,,70.00%,69.63%,,,,,,,,,
"5390 K.V.N. Naik S. P. Sansths Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik. (Un-Aided)",Computer Engineering,84.63%,80.00%,83.03%,85.24%,73.13%,85.19%,73.94%,,84.29%,,,,,,,,78.40%,72.91%,,,,,,,,,,,,,,
"5390 K.V.N. Naik S. P. Sansths Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik. (Un-Aided)",Electrical Engineering,73.65%,65.76%,69.28%,72.72%,,69.75%,,56.36%,71.31%,,67.83%,,,,,,,66.18%,61.83%,,,,,,,,,,,,,
"5390 K.V.N. Naik S. P. Sansths Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik. (Un-Aided)",Mechanical Engineering,67.23%,61.08%,,64.67%,,58.94%,,,61.50%,,,,67.08%,,,,,,,,,65.03%,64.05%,,,,,,,,,
"5390 K.V.N. Naik S. P. Sansths Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik. (Un-Aided)",Artificial Intelligence and Machine Learning,83.00%,79.00%,,85.22%,,82.86%,,,83.00%,76.57%,,,,,,,,,,,,,,,,,,,,,,
"5396 College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon (Un-Aided)",Civil Engineering,71.08%,,,71.58%,,66.44%,,,65.16%,,,,66.89%,,,,,69.11%,,,,,,,,,,,,,,
"5396 College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon (Un-Aided)",Computer Engineering,76.46%,70.23%,,78.86%,64.23%,78.17%,69.67%,,76.29%,,,72.65%,,70.82%,,,,,,,,,,,,,,,,,,
"5396 College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon (Un-Aided)",Electrical Engineering,73.61%,68.79%,,65.78%,,70.89%,,,73.06%,,,,,61.72%,,,,,,,,64.22%,,,,,,,,,,
"5396 College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon (Un-Aided)",Mechanical Engineering,74.97%,69.23%,,65.71%,,68.62%,74.00%,74.97%,68.88%,,,,67.95%,,,,71.28%,,,,,,,,,,,,,,,
"5399 Sanghavi College of Engineering, Varvandi, Nashik. (Un-Aided)",Civil Engineering,56.48%,,,69.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5399 Sanghavi College of Engineering, Varvandi, Nashik. (Un-Aided)",Computer Engineering,80.06%,74.06%,74.23%,82.23%,,81.14%,,63.14%,79.26%,75.37%,74.06%,,73.94%,,,,64.97%,70.74%,80.06%,,,,,,,,,,,,,
"5399 Sanghavi College of Engineering, Varvandi, Nashik. (Un-Aided)",Electrical Engineering,71.06%,62.61%,,72.56%,66.72%,61.58%,,68.33%,67.22%,,60.67%,,,,,,,,,,,,69.00%,,,,,,,,,
"5399 Sanghavi College of Engineering, Varvandi, Nashik. (Un-Aided)",Mechanical Engineering,60.51%,58.51%,,54.67%,,,,60.10%,57.85%,,,,,,,,,,,,,,58.36%,,,,,,,,,
"5401 Jawahar Education Societys Institute of Technology, Management & Research, Nashik. (Un-Aided)",Civil Engineering,61.05%,,,63.75%,,,,,55.53%,,,,,,,,,,,,,,,,,,,,,,,
"5401 Jawahar Education Societys Institute of Technology, Management & Research, Nashik. (Un-Aided)",Computer Engineering,82.11%,75.69%,77.89%,82.57%,61.43%,81.77%,67.20%,,81.14%,78.11%,76.23%,,76.69%,,72.86%,,70.91%,71.69%,,,,,79.88%,,,,,,,,,
"5401 Jawahar Education Societys Institute of Technology, Management & Research, Nashik. (Un-Aided)",Information Technology,80.74%,75.00%,76.80%,82.00%,,80.80%,,,80.51%,71.75%,,76.51%,,80.34%,,,,,,,,,,,,,,,,,,
"5401 Jawahar Education Societys Institute of Technology, Management & Research, Nashik. (Un-Aided)",Artificial Intelligence (AI) and Data Science,79.38%,73.54%,,80.23%,,79.37%,,,79.25%,,,,,,,,74.13%,69.66%,,,,,,,,,,,,,,
"5401 Jawahar Education Societys Institute of Technology, Management & Research, Nashik. (Un-Aided)",Electrical Engineering,69.67%,63.94%,62.72%,63.17%,,67.00%,,,68.28%,,61.00%,68.44%,,,,,,,57.00%,,,,,,,,,,,,,
"5401 Jawahar Education Societys Institute of Technology, Management & Research, Nashik. (Un-Aided)",Mechanical Engineering,69.79%,,,67.74%,,60.35%,,,62.57%,,,,,,,,,,,,,,,,,,,,,,,
"5408 Vidya Niketan College of Engineering, Bota Sangamner (Un-Aided)",Civil Engineering,70.47%,65.89%,64.00%,66.74%,,47.38%,,66.63%,49.86%,,,63.26%,69.47%,64.51%,,,,,,,,,68.47%,,,,,,,,,
"5408 Vidya Niketan College of Engineering, Bota Sangamner (Un-Aided)",Computer Engineering,76.77%,58.00%,68.06%,78.00%,,76.44%,65.71%,,75.00%,75.00%,76.57%,,71.31%,68.23%,,,,,,,,,74.06%,,,,,,,,,
"5408 Vidya Niketan College of Engineering, Bota Sangamner (Un-Aided)",Electrical Engineering,74.39%,62.39%,66.11%,75.00%,,72.00%,61.39%,62.76%,68.33%,,72.89%,,,72.61%,,,64.07%,,,,,72.56%,65.94%,,,,,,,,,
"5408 Vidya Niketan College of Engineering, Bota Sangamner (Un-Aided)",Electronics and Telecommunication Engg,75.00%,54.57%,71.71%,76.41%,69.76%,72.76%,73.76%,62.24%,72.19%,,74.41%,68.94%,,69.41%,,,,73.76%,74.97%,,,,,,72.59%,,,,,,,
"5408 Vidya Niketan College of Engineering, Bota Sangamner (Un-Aided)",Mechanical Engineering,74.36%,60.46%,69.64%,71.74%,,64.31%,58.24%,67.28%,71.18%,68.78%,51.15%,,67.49%,67.13%,,,,66.62%,,,,,71.03%,,,,,,,,,
"5409 Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar (Un-Aided)",Computer Engineering,74.97%,64.29%,65.06%,73.20%,,70.63%,72.00%,,71.49%,,67.56%,,65.77%,68.91%,,,,72.17%,,,,69.94%,74.34%,,,,,,,,,
"5409 Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar (Un-Aided)",Electrical Engineering,75.44%,61.31%,65.11%,73.17%,,72.28%,73.44%,,70.22%,,66.56%,71.11%,66.71%,71.06%,,,,61.72%,,70.39%,,,64.67%,,,,,,,,,
"5409 Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar (Un-Aided)",Electronics and Telecommunication Engg,73.71%,63.47%,,72.88%,,71.14%,75.94%,,62.11%,69.94%,,,,67.53%,,,,,66.91%,70.00%,,,,,,,,,,,,
"5409 Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar (Un-Aided)",Mechanical Engineering,72.31%,61.85%,57.18%,51.76%,,55.85%,65.74%,,62.46%,,,66.67%,65.41%,60.50%,,,56.65%,,66.08%,,,,68.67%,,,,,,,,,
"5411 Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon. (Un-Aided Religious Minority - Muslim)",Civil Engineering,,,,68.26%,,,,,,,,,,,,,,,,,,,,69.95%,,,,,,,,
"5411 Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon. (Un-Aided Religious Minority - Muslim)",Computer Engineering,67.77%,,,70.31%,,,,,,,,,,,,,,,,,,,,60.00%,,,,,,,,
"5411 Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon. (Un-Aided Religious Minority - Muslim)",Electrical Engineering,59.39%,,,64.40%,,,,,,,,,,,,,,,,,,,,66.00%,,,,,,,,
"5411 Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon. (Un-Aided Religious Minority - Muslim)",Electronics and Telecommunication Engg,67.50%,,,70.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5411 Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon. (Un-Aided Religious Minority - Muslim)",Mechanical Engineering,61.81%,,,,,,,,,,,,,,,,,,,,,,,61.64%,,,,,,,,
"5418 Guru Gobind Singh College of Engineering & Research Centre, Nashik. (Un-Aided)",Civil Engineering,72.16%,60.47%,,77.88%,62.26%,72.05%,57.68%,59.26%,69.05%,,67.00%,61.37%,71.00%,57.05%,,,,,,,,,70.63%,,,,,,,,,
"5418 Guru Gobind Singh College of Engineering & Research Centre, Nashik. (Un-Aided)",Computer Engineering,87.54%,82.63%,84.56%,87.43%,,87.14%,80.91%,78.63%,86.97%,,,,85.49%,,,,,75.89%,,,,,,,,,,,,,,
"5418 Guru Gobind Singh College of Engineering & Research Centre, Nashik. (Un-Aided)",Artificial Intelligence (AI) and Data Science,86.75%,,,86.51%,,,79.83%,,86.19%,81.00%,76.88%,,,,,,,,,,,,,,,,,,,,,
"5418 Guru Gobind Singh College of Engineering & Research Centre, Nashik. (Un-Aided)",Electrical Engineering,83.56%,76.67%,82.50%,85.89%,80.56%,82.17%,,83.22%,80.24%,,77.67%,81.50%,,65.28%,,,,,,,,,,,,,,,,,,
"5418 Guru Gobind Singh College of Engineering & Research Centre, Nashik. (Un-Aided)",Mechanical Engineering,79.69%,67.28%,,80.82%,,76.87%,68.41%,72.51%,75.18%,,,,,76.36%,,,,,,,,73.49%,74.36%,,,,,,,,,
"5418 Guru Gobind Singh College of Engineering & Research Centre, Nashik. (Un-Aided)",Automation and Robotics,80.05%,76.52%,,84.18%,,,61.19%,,79.28%,,,,,,,,,77.49%,,,,,,,,,,,,,,
"5449 Shri Vile Parle Kelavani Mandals Institute of Technology, Dhule (Un-Aided Linguistic Minority - Gujarathi)",Civil Engineering,81.37%,,,86.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5449 Shri Vile Parle Kelavani Mandals Institute of Technology, Dhule (Un-Aided Linguistic Minority - Gujarathi)",Computer Engineering,87.20%,,,88.23%,,,,,,,,,,,,,,,,,,,,81.37%,,,,,,,,
"5449 Shri Vile Parle Kelavani Mandals Institute of Technology, Dhule (Un-Aided Linguistic Minority - Gujarathi)",Information Technology,85.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5449 Shri Vile Parle Kelavani Mandals Institute of Technology, Dhule (Un-Aided Linguistic Minority - Gujarathi)",Electrical Engineering,76.50%,,,70.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5449 Shri Vile Parle Kelavani Mandals Institute of Technology, Dhule (Un-Aided Linguistic Minority - Gujarathi)",Mechanical Engineering,73.23%,,,79.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5497 P.G. College of Engineering & Technology, Nandurbar (Un-Aided)",Civil Engineering,51.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5497 P.G. College of Engineering & Technology, Nandurbar (Un-Aided)",Computer Engineering,72.17%,64.79%,,68.88%,67.26%,67.26%,69.43%,,69.94%,,65.00%,,,,,,,,,,,68.40%,,,,,,,,,,
"5497 P.G. College of Engineering & Technology, Nandurbar (Un-Aided)",Mechanical Engineering,57.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5497 P.G. College of Engineering & Technology, Nandurbar (Un-Aided)",Data Science,60.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6004 Government College of Engineering & Research, Avasari Khurd (Government)",Civil Engineering,90.58%,85.63%,90.53%,90.84%,,89.84%,83.89%,84.53%,90.00%,,86.79%,,85.05%,87.95%,83.58%,73.42%,,,,,,,,,,,,,,,,
"6004 Government College of Engineering & Research, Avasari Khurd (Government)",Computer Engineering,92.94%,91.37%,,95.26%,78.29%,,90.80%,,92.20%,91.81%,,,,,,,,,,,,,,,,,,,,,,
"6004 Government College of Engineering & Research, Avasari Khurd (Government)",Electronics and Telecommunication Engg,89.44%,,88.76%,89.35%,,88.29%,85.76%,,,,84.06%,,,,,,,,,,,,,,,,,,,,,
"6004 Government College of Engineering & Research, Avasari Khurd (Government)",Instrumentation and Control Engineering,88.33%,,,85.53%,60.40%,,69.76%,,85.00%,82.71%,69.72%,,,,,,,,,,,,,,,,,,,,,
"6004 Government College of Engineering & Research, Avasari Khurd (Government)",Automobile Engineering,79.79%,75.11%,71.83%,77.18%,,75.95%,78.32%,,76.06%,74.11%,74.97%,,76.15%,74.26%,,,77.10%,,,,,,72.26%,,,,,,,,,
"6004 Government College of Engineering & Research, Avasari Khurd (Government)",Mechanical Engineering,88.10%,82.13%,88.00%,85.90%,,82.00%,82.87%,,86.97%,83.94%,75.23%,83.23%,,,,,,83.59%,,,,,,,,,,,,,,
"6005 Government College of Engineering, Karad (Government Autonomous)",Civil Engineering,93.58%,89.21%,92.23%,94.58%,,,86.74%,81.32%,92.86%,,,,85.43%,,,,,,,,,,,,,,,,,,,
"6005 Government College of Engineering, Karad (Government Autonomous)",Information Technology,94.00%,,92.91%,93.77%,72.34%,92.89%,89.09%,,,,89.31%,,,,,,,,,,,,,,,,,,,,,
"6005 Government College of Engineering, Karad (Government Autonomous)",Electrical Engineering,92.33%,91.50%,,92.61%,,89.56%,89.94%,80.53%,92.33%,90.33%,,,,,,,,,,,,,,,,,,,,,,
"6005 Government College of Engineering, Karad (Government Autonomous)",Electronics and Telecommunication Engg,91.53%,89.17%,91.22%,91.88%,,89.11%,85.18%,,,,,,,,,,,,,,,,,,,,,,,,,
"6005 Government College of Engineering, Karad (Government Autonomous)",Mechanical Engineering,90.70%,,89.74%,87.54%,,,87.54%,72.10%,88.40%,,79.32%,,,,,,,,,,,,,,,,,,,,,
6006 COEP Technological University (University Autonomous),Civil Engineering,95.68%,92.21%,,96.00%,,94.32%,91.63%,90.18%,95.27%,94.58%,,,,,,,94.00%,,,,,,,,,,,,,,,
6006 COEP Technological University (University Autonomous),Computer Engineering,97.82%,95.65%,96.51%,97.59%,,97.50%,96.40%,89.83%,96.82%,,96.06%,,95.00%,,,94.35%,,,,,,,96.29%,,,,,,,,,
6006 COEP Technological University (University Autonomous),Robotics and Artificial Intelligence,95.29%,,95.03%,96.22%,78.23%,,95.45%,,95.11%,,93.05%,,,,,,,,,,,,,,,,,,,,,
6006 COEP Technological University (University Autonomous),Electrical Engineering,95.68%,93.17%,94.94%,94.94%,,93.56%,92.94%,91.72%,95.42%,,,93.33%,,,,,,,,,,,,,,,,,,,,
6006 COEP Technological University (University Autonomous),Electronics and Telecommunication Engg,95.26%,93.59%,,94.71%,,,94.18%,87.32%,94.89%,94.71%,,92.23%,,,,,,,,,,,,,,,,,,,,
6006 COEP Technological University (University Autonomous),Instrumentation and Control Engineering,94.24%,,,,,,86.50%,,94.18%,,83.00%,,,,,,,,,,,,,,,,,,,,,
6006 COEP Technological University (University Autonomous),Mechanical Engineering,94.67%,92.35%,91.74%,93.11%,88.41%,90.87%,94.41%,88.92%,94.48%,,90.18%,,93.20%,94.05%,,,,,,,,,,,,75.74%,,81.49%,,,,
6006 COEP Technological University (University Autonomous),Manufacturing Science and Engineering,92.67%,,91.38%,92.89%,,74.41%,89.08%,,92.21%,,80.13%,,,,,,73.12%,,,,,,,,,,,,,,,
